King,Year,Month,PD relative to true date
ArtI,24,VI,1
DarII,5,III,-1
ArtII,20,IX,1
ArtII,23,VI,1
ArtII,26,IX,1
ArtII,36,III,-1
ArtII,38,II,1
DarIII,2,III,-1
DarIII,2,V,-1
DarIII,3,VI,-1
AlexanderIII,14,I,1
AlexanderIII,14,III,1
AlexanderIII,14,XII,1
AlexanderIV,7,VI,1
SE,4,III,1
SE,9,III,1
SE,9,X,-1
SE,10,III,1
SE,20,VI,1
SE,30,X,1
SE,38,VIII,1
SE,38,XII,1
SE,45,V,1
SE,47,VII,1
SE,51,VI,-1
SE,56,V,1
SE,56,VI2,1
SE,62,X,1
SE,64,VIII,-1
SE,65,V,-1
SE,71,IX,1
SE,79,VIII,1
SE,85,IV,-1
SE,93,VII,-1
SE,102,V,-1
SE,109,VII,1
SE,111,XI,1
SE,117,III,1
SE,120,VI,-1
SE,143,VI,1
SE,150,VII,-1
SE,150,VIII,-1
SE,165,XI,-1
SE,167,VII,-1
SE,175,X,-1
SE,175,XII2,1
SE,224,XII2,-1
SE,234,II,-1
SE,239,IX,1
